assembly_accession	organism_name	species_taxid	refseq_category
GCF_004343155.1	Marichromatium gracile	1048	representative genome
GCF_000025485.1	Allochromatium vinosum DSM 180	1049	representative genome
GCF_009664085.1	Thermochromatium tepidum ATCC 43061	1050	representative genome
GCF_002356555.2	Halorhodospira halochloris	1052	representative genome
GCF_000015585.1	Halorhodospira halophila SL1	1053	representative genome
GCF_900106925.1	Thiocapsa roseopersicina	1058	representative genome
GCF_003254295.1	Rhodobacter capsulatus	1061	representative genome
GCF_000015985.1	Rhodobacter sphaeroides ATCC 17029	1063	representative genome
GCF_011881425.1	Rhodocyclus tenuis	1066	representative genome
GCF_000166055.1	Rhodomicrobium vannielii ATCC 17100	1069	representative genome
GCF_002937115.1	Rhodopila globiformis	1071	representative genome
GCF_900187365.1	Rhodoblastus acidophilus	1074	representative genome
GCF_003071405.1	Rhodobacter blasticus	1075	representative genome
GCF_013415845.1	Rhodopseudomonas palustris	1076	representative genome
GCF_001402875.1	Blastochloris viridis	1079	representative genome
GCF_900102695.1	Afifella marina DSM 2698	1080	representative genome
GCF_900108475.1	Phaeospirillum fulvum	1082	representative genome
GCF_000294655.1	Phaeospirillum molischianum DSM 120	1083	representative genome
GCF_000284415.1	Pararhodospirillum photometricum DSM 122	1084	representative genome
GCF_000225955.1	Rhodospirillum rubrum F11	1085	representative genome
GCF_004341375.1	Rhodothalassium salexigens DSM 2132	1086	representative genome
GCF_000515255.1	Rhodovibrio salinarum DSM 9154	1087	representative genome
GCF_000020465.1	Chlorobium limicola DSM 245	1092	representative genome
GCF_000016085.1	Chlorobium phaeovibrioides DSM 265	1094	representative genome
GCF_000020545.1	Chlorobium phaeobacteroides BS1	1096	representative genome
GCF_000006985.1	Chlorobaculum tepidum TLS	1097	representative genome
GCF_006265245.1	Prosthecochloris vibrioformis	1098	representative genome
GCF_000012485.1	Pelodictyon luteolum DSM 273	1100	representative genome
GCF_000020625.1	Prosthecochloris aestuarii DSM 271	1102	representative genome
GCF_000022185.1	Chloroflexus aurantiacus Y-400-fl	1108	representative genome
GCF_001663175.1	Porphyrobacter neustonensis	1112	representative genome
GCF_003864295.1	Aphanothece sacrum FPU1	1122	representative genome
GCF_000317285.1	Chlorogloeopsis fritschii PCC 6912	1124	representative genome
GCF_010196425.1	Microcystis aeruginosa NIES-298	1126	representative genome
GCF_000464665.1	Planktothrix agardhii NIVA-CYA 15	1160	representative genome
GCF_000196515.1	'Nostoc azollae' 0708	1164	representative genome
GCF_002367955.1	Anabaena cylindrica PCC 7122	1165	representative genome
GCF_012516395.1	Dolichospermum flos-aquae CCAP 1403/13F	1166	representative genome
GCF_000521175.1	Aphanizomenon flos-aquae NIES-81	1176	representative genome
GCF_003113895.1	Nostoc commune NIES-4072	1178	representative genome
GCF_002368255.1	Leptolyngbya boryana NIES-2135	1184	representative genome
GCF_002368275.1	Fremyella diplosiphon NIES-3275	1197	representative genome
GCF_000014265.1	Trichodesmium erythraeum IMS101	1206	representative genome
GCF_000007925.1	Prochlorococcus marinus subsp. marinus str. CCMP1375	1219	representative genome
GCF_000332315.1	Prochlorothrix hollandica PCC 9006 = CALU 1027	1223	representative genome
GCF_000012805.1	Nitrosococcus oceani ATCC 19707	1229	representative genome
GCF_000196355.1	Nitrosospira multiformis ATCC 25196	1231	representative genome
GCF_900109785.1	Nitrosovibrio tenuis	1233	representative genome
GCF_009708695.1	Piscirickettsia salmonis	1238	representative genome
GCF_900016145.1	Leuconostoc gelidum subsp. gasicomitatum	1244	representative genome
GCF_009676745.1	Leuconostoc mesenteroides subsp. mesenteroides	1245	representative genome
GCF_002287365.1	Leuconostoc lactis	1246	representative genome
GCF_002966535.1	Oenococcus oeni	1247	representative genome
GCF_011009625.1	Weissella paramesenteroides	1249	representative genome
GCF_004354645.1	Leuconostoc fallax	1251	representative genome
GCF_000300135.1	Leuconostoc carnosum JB16	1252	representative genome
GCF_013127755.1	Pediococcus acidilactici	1254	representative genome
GCF_000014505.1	Pediococcus pentosaceus ATCC 25745	1255	representative genome
GCF_900176115.1	Peptoniphilus asaccharolyticus DSM 20463	1258	representative genome
GCF_000159695.1	Finegoldia magna ATCC 53516	1260	representative genome
GCF_900454605.1	Peptostreptococcus anaerobius	1261	representative genome
GCF_900109655.1	Ruminococcus albus	1264	representative genome
GCF_902760805.1	Ruminococcus flavefaciens	1265	representative genome
GCF_902362755.1	Clostridium ventriculi	1267	representative genome
GCF_000023205.1	Micrococcus luteus NCTC 2665	1270	representative genome
GCF_006539885.1	Kocuria varians	1272	representative genome
GCF_900163825.1	Micrococcus lylae	1273	representative genome
GCF_900447535.1	Dermacoccus nishinomiyaensis	1274	representative genome
GCF_006094695.1	Kocuria rosea	1275	representative genome
GCF_001064185.1	Kytococcus sedentarius	1276	representative genome
GCF_000013425.1	Staphylococcus aureus subsp. aureus NCTC 8325	1280	reference genome
GCF_900458435.1	Staphylococcus carnosus subsp. carnosus	1281	representative genome
GCF_006094375.1	Staphylococcus epidermidis	1282	representative genome
GCF_001611955.1	Staphylococcus haemolyticus	1283	representative genome
GCF_000816085.1	Staphylococcus hyicus	1284	representative genome
GCF_900458545.1	Staphylococcus intermedius NCTC 11048	1285	representative genome
GCF_003042115.1	Staphylococcus simulans	1286	representative genome
GCF_002078255.1	Staphylococcus xylosus	1288	representative genome
GCF_003812505.1	Staphylococcus hominis	1290	representative genome
GCF_003571725.1	Staphylococcus warneri	1292	representative genome
GCF_003577645.1	Staphylococcus gallinarum	1293	representative genome
GCF_900187005.1	Staphylococcus muscae	1294	representative genome
GCF_001548255.1	Staphylococcus schleiferi	1295	representative genome
GCF_900474615.1	Staphylococcus sciuri subsp. sciuri	1296	representative genome
GCF_000687895.1	Deinococcus radiodurans ATCC 13939	1299	representative genome
GCF_000017005.1	Streptococcus gordonii str. Challis substr. CH1	1302	representative genome
GCF_002096515.1	Streptococcus oralis subsp. oralis	1303	representative genome
GCF_902858935.1	Streptococcus salivarius	1304	representative genome
GCF_900475275.1	Streptococcus sanguinis	1305	representative genome
GCF_000026725.1	Streptococcus suis SC84	1307	representative genome
GCF_004114735.1	Streptococcus thermophilus	1308	representative genome
GCF_001558215.1	Streptococcus mutans	1309	representative genome
GCF_003172975.1	Streptococcus sobrinus	1310	representative genome
GCF_002214425.1	Streptococcus agalactiae	1311	representative genome
GCF_900042815.1	Streptococcus pneumoniae	1313	representative genome
GCF_001267845.1	Streptococcus pyogenes	1314	representative genome
GCF_900459175.1	Streptococcus downei MFe28	1317	representative genome
GCF_000164675.2	Streptococcus parasanguinis ATCC 15912	1318	representative genome
GCF_002222595.2	Blautia hansenii DSM 20583	1322	representative genome
GCF_900459315.1	Faecalicoccus pleomorphus	1323	representative genome
GCF_900459045.1	Streptococcus acidominimus	1326	representative genome
GCF_001412635.1	Streptococcus anginosus	1328	representative genome
GCF_900636575.1	Streptococcus canis	1329	representative genome
GCF_000187975.2	Streptococcus criceti HS-6	1333	representative genome
GCF_901543725.1	Streptococcus dysgalactiae	1334	representative genome
GCF_009758075.1	Streptococcus equinus	1335	representative genome
GCF_000026605.1	Streptococcus equi subsp. zooepidemicus	1336	representative genome
GCF_900459405.1	Streptococcus hyointestinalis	1337	representative genome
GCF_900475975.1	Streptococcus intermedius	1338	representative genome
GCF_900459485.1	Streptococcus macacae NCTC 11558	1339	representative genome
GCF_901553735.1	Streptococcus porcinus	1340	representative genome
GCF_008803015.1	Streptococcus ratti	1341	representative genome
GCF_010604095.1	Streptococcus vestibularis	1343	representative genome
GCF_900475025.1	Streptococcus ferus	1345	representative genome
GCF_003674745.1	Streptococcus iniae	1346	representative genome
GCF_001601895.1	Streptococcus parauberis	1348	representative genome
GCF_900460135.1	Streptococcus uberis	1349	representative genome
GCF_003319925.1	Enterococcus faecalis	1351	representative genome
GCF_010120755.1	Enterococcus faecium	1352	representative genome
GCF_002140495.1	Enterococcus gallinarum	1353	representative genome
GCF_002278015.2	Enterococcus hirae	1354	representative genome
GCF_000407225.1	Enterococcus columbae DSM 7374 = ATCC 51263	1355	representative genome
GCF_000407605.1	Enterococcus sulfureus ATCC 49903	1356	representative genome
GCF_002866835.1	Lactococcus lactis subsp. lactis	1358	representative genome
GCF_001645775.1	Lactococcus garvieae	1363	representative genome
GCF_900094145.1	Lactococcus piscium	1364	representative genome
GCF_001591745.1	Lactococcus plantarum NBRC 100936	1365	representative genome
GCF_002310475.1	Lactococcus raffinolactis	1366	representative genome
GCF_900166605.1	Marinococcus halophilus	1371	representative genome
GCF_003664125.1	Planococcus citreus	1373	representative genome
GCF_001465835.2	Planococcus kocurii	1374	representative genome
GCF_003286875.1	Aerococcus urinae	1376	representative genome
GCF_000262085.1	Aerococcus viridans LL1	1377	representative genome
GCF_012273215.1	Gemella haemolysans	1379	representative genome
GCF_000364325.1	Atopobium minutum 10063974	1381	representative genome
GCF_000024225.1	Atopobium parvulum DSM 20469	1382	representative genome
GCF_000174015.1	Atopobium rimae ATCC 49626	1383	representative genome
GCF_013122255.1	Bacillus amyloliquefaciens	1390	representative genome
GCF_012844185.1	Aneurinibacillus aneurinilyticus	1391	representative genome
GCF_000008445.1	Bacillus anthracis str. 'Ames Ancestor'	1392	representative genome
GCF_001039275.2	Brevibacillus brevis	1393	representative genome
GCF_013267775.1	Bacillus cereus	1396	representative genome
GCF_013267435.1	Bacillus circulans	1397	representative genome
GCF_001546215.1	Bacillus coagulans	1398	representative genome
GCF_000565285.1	Bacillus firmus DS1	1399	representative genome
GCF_002407025.1	Paenibacillus lautus	1401	representative genome
GCF_000011645.1	Bacillus licheniformis DSM 13 = ATCC 14580	1402	representative genome
GCF_002574795.1	Bacillus megaterium	1404	representative genome
GCF_000160975.1	Bacillus mycoides	1405	representative genome
GCF_000785455.1	Paenibacillus polymyxa	1406	representative genome
GCF_000305495.1	Bacillus psychrosaccharolyticus ATCC 23296	1407	representative genome
GCF_001578205.1	Bacillus pumilus	1408	representative genome
GCF_000513135.1	Bacillus akibai JCM 9157	1411	representative genome
GCF_000177235.2	Bacillus cellulosilyticus DSM 2522	1413	representative genome
GCF_000615945.1	Bacillus mannanilyticus JCM 10596	1418	representative genome
GCF_002982115.1	Lysinibacillus sphaericus	1421	representative genome
GCF_003667675.1	Geobacillus stearothermophilus	1422	representative genome
GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168	1423	reference genome
GCF_001700985.1	Parageobacillus thermoglucosidasius	1426	representative genome
GCF_000161495.1	Bacillus thuringiensis Bt407	1428	representative genome
GCF_004802515.1	Bacillus alcalophilus ATCC 27647 = CGMCC 1.3604	1445	representative genome
GCF_000307165.1	Amphibacillus xylanus NBRC 15112	1449	representative genome
GCF_000444055.1	Alicyclobacillus acidoterrestris ATCC 49025	1450	representative genome
GCF_001570725.1	Paenibacillus amylolyticus	1451	representative genome
GCF_000742675.1	Bacillus atrophaeus subsp. globigii	1452	representative genome
GCF_000307855.1	Bacillus azotoformans LMG 9581	1454	representative genome
GCF_000829555.1	Bacillus badius	1455	representative genome
GCF_001591625.1	Bacillus fastidiosus NBRC 101226	1458	representative genome
GCF_001274725.1	Sporosarcina globispora	1459	representative genome
GCF_003254155.1	Psychrobacillus insolitus	1461	representative genome
GCF_000009785.1	Geobacillus kaustophilus HTA426	1462	representative genome
GCF_002003265.1	Paenibacillus larvae subsp. larvae	1464	representative genome
GCF_002865525.1	Brevibacillus laterosporus	1465	representative genome
GCF_900478165.1	Bacillus lentus	1467	representative genome
GCF_008764295.1	Bacillus methanolicus	1471	representative genome
GCF_003259455.1	Paenibacillus pabuli	1472	representative genome
GCF_001189575.1	Virgibacillus pantothenticus	1473	representative genome
GCF_004379295.1	Sporosarcina pasteurii	1474	representative genome
GCF_001590685.1	Sporosarcina psychrophila	1476	representative genome
GCF_002243645.1	Peribacillus simplex NBRC 15720 = DSM 1321	1478	representative genome
GCF_001050115.1	Bacillus smithii	1479	representative genome
GCF_000294755.1	Virgibacillus halodenitrificans 1806	1482	representative genome
GCF_001653195.1	Hydrogenibacillus schlegelii	1484	representative genome
GCF_000218855.1	Clostridium acetobutylicum DSM 1731	1488	representative genome
GCF_000452245.2	Paraclostridium bifermentans ATCC 638	1490	representative genome
GCF_003058345.1	Clostridium botulinum	1491	representative genome
GCF_003315755.1	Clostridium butyricum	1492	representative genome
GCF_000145275.1	Clostridium cellulovorans 743B	1493	representative genome
GCF_900187165.1	Clostridium cochlearium	1494	representative genome
GCF_001047375.1	Clostridium cylindrosporum DSM 605	1495	representative genome
GCF_002007885.1	Clostridioides difficile	1496	representative genome
GCF_002080475.1	Clostridium formicaceticum	1497	representative genome
GCF_901482605.1	Hathewaya histolytica	1498	representative genome
GCF_000526495.1	Ruminiclostridium josui JCM 17888	1499	representative genome
GCF_001705235.1	Clostridium pasteurianum	1501	representative genome
GCF_000013285.1	Clostridium perfringens ATCC 13124	1502	representative genome
GCF_001190785.1	Gottschalkia purinilytica	1503	representative genome
GCF_003606265.1	Clostridium septicum	1504	representative genome
GCF_002865995.1	Paeniclostridium sordellii	1505	representative genome
GCF_001020205.1	Clostridium sporogenes	1509	representative genome
GCF_000331995.1	Thermoclostridium stercorarium subsp. stercorarium DSM 8532	1510	representative genome
GCF_000196455.1	Acetoanaerobium sticklandii	1511	representative genome
GCF_013304055.1	[Clostridium] symbiosum	1512	representative genome
GCF_000007625.1	Clostridium tetani E88	1513	representative genome
GCF_001692755.1	Hungateiclostridium thermocellum DSM 2360	1515	representative genome
